"MAPA/Integer/set/order=0","DELEGACIO/Decimal/set/precision=2/set/scale=0/set/roundMode=4/set/locale=en/set/order=10","MUNICIPIO/Decimal/set/precision=3/set/scale=0/set/roundMode=4/set/locale=en/set/order=20","MASA/String/set/size=5/set/order=30","HOJA/String/set/size=7/set/order=40","TIPO/String/set/size=1/set/order=50","PARCELA/String/set/size=5/set/order=60","COORX/Decimal/set/precision=8/set/scale=2/set/roundMode=4/set/locale=en/set/order=70","COORY/Decimal/set/precision=9/set/scale=2/set/roundMode=4/set/locale=en/set/order=80","VIA/Integer/set/order=90","NUMERO/Integer/set/order=100","NUMERODUP/String/set/size=1/set/order=110","NUMSYMBOL/Decimal/set/precision=2/set/scale=0/set/roundMode=4/set/locale=en/set/order=120","AREA/Integer/set/order=130","GEOMETRY/Geometry/set/srs=EPSG@23030/set/geomtype=Multipolygon@2D/set/order=160"
"242","46","900","63394","YJ2763G","U","03","726422.58","4373894.49","3363","23",,"6","1649","POLYGON ((-0.3687549644782878 39.483375599728106, -0.3687447751811226 39.48339608892677, -0.3684270387023789 39.48330394172988, -0.3684520539263162 39.48325099678326, -0.3686589527253017 39.482829572362206, -0.3688980970113867 39.48290021036939, -0.3689307489476479 39.48290986829247, -0.3689317841583458 39.48291016199277, -0.3689774767448825 39.482922367348365, -0.3689780507308286 39.48292256051825, -0.3687549644782878 39.483375599728106))"
"242","46","900","69336","YJ2763D","U","03","726925.62","4373344.47","3140","20",,"6","373","POLYGON ((-0.363005364868681 39.47800429101952, -0.3628415268080568 39.47795634032914, -0.362836467405805 39.47795487420756, -0.3628596375368211 39.47790774421164, -0.3628799288058955 39.47786604416182, -0.3628869873720498 39.477851520228306, -0.3629144567078952 39.47779520886293, -0.3629280684103889 39.47776723056016, -0.3629317291342133 39.47775956618482, -0.362986688969609 39.47777558763713, -0.3630663684832228 39.47779883643658, -0.3631066079691134 39.4778106500601, -0.3630914903463582 39.477841567070534, -0.3630895951159489 39.47784557796203, -0.3630858216593237 39.477853149697594, -0.3630654007656189 39.4778952071899, -0.3630628839905799 39.47790028501611, -0.3630522978865017 39.4779220259289, -0.3630472609309776 39.47793227158995, -0.3630360464721332 39.47795525945485, -0.3630337789898168 39.47795989250433, -0.3630240773112984 39.47797976166495, -0.3630220591247135 39.477983949938235, -0.363011230498593 39.478005955603095, -0.363005364868681 39.47800429101952))"
"242","46","900","68405","YJ2763H","U","02","726863.03","4373997.95","2531","2",,"6","1340","POLYGON ((-0.3634762282754003 39.484091407777576, -0.3634320731647599 39.484180042024164, -0.3633035000895722 39.484084515553874, -0.3633184519500872 39.48405494609286, -0.36332297371306 39.48404604004102, -0.363275149381521 39.48403180218437, -0.3632049059434928 39.48401092967692, -0.3630674565297781 39.483907273904194, -0.3630651980452746 39.483905511005894, -0.3630241968762842 39.48387377092134, -0.3630232948440526 39.48387302975796, -0.3630295958919762 39.48386011020103, -0.3630347630896218 39.48384950716307, -0.3629541849617953 39.483825246940334, -0.3630124452182963 39.48370792510336, -0.3630304059559779 39.483672568334775, -0.3633281432449469 39.483761573846145, -0.363475810790077 39.483884019000236, -0.3635486299627502 39.48394440770807, -0.3635335552661985 39.48397415458658, -0.3635165545522303 39.48400872243713, -0.3635053493602194 39.48403144027012, -0.3634938948422501 39.484054602877535, -0.3634896122148717 39.484063334189095, -0.3634762282754003 39.484091407777576))"
"242","46","900","69384","YJ2773G","U","02","727014.09","4373825.60","770","15",,"6","1489","POLYGON ((-0.3619131148544051 39.48262616601458, -0.3619066783124282 39.48262421815121, -0.3617027590911384 39.48256301392318, -0.3616878156891483 39.48255853064613, -0.3615486105208936 39.482516812803645, -0.3616251260811212 39.48235945729906, -0.3616306724548823 39.48234805215299, -0.3616055037874487 39.4823403638351, -0.3616580989815912 39.48223453520275, -0.3618460250770956 39.48229132249867, -0.3618764857523986 39.482300482211585, -0.3618873120700363 39.48227856671074, -0.3620238692940375 39.48231959342426, -0.3620134425145261 39.48234016670999, -0.3620281501845491 39.482344734679835, -0.3620573400299405 39.4823536853216, -0.3621412505558603 39.48237892266663, -0.3620387776809508 39.482663251825535, -0.3619131148544051 39.48262616601458))"
"242","46","900","70399","YJ2773G","U","21","727020.48","4373997.55","2363","10",,"6","247","POLYGON ((-0.3615426678165139 39.48388527290704, -0.3615138445881489 39.48386353816567, -0.3614803713219298 39.483838724971015, -0.3614091368939129 39.48378566798142, -0.3613795108717922 39.483763644717804, -0.3613788343622827 39.48376308883614, -0.3613726126022213 39.48375853330974, -0.3613674124147716 39.4837546315871, -0.3613604069599176 39.4837154650275, -0.3613962709088343 39.48368628061205, -0.3614209783869546 39.48366621184772, -0.3614379421713181 39.48367875874244, -0.3614628223994504 39.483697160850575, -0.3615716163253828 39.48377764619445, -0.3615969510355718 39.483796328853714, -0.3616262422903131 39.48381798411509, -0.361618327559557 39.4838243807206, -0.3615480616033439 39.48388098114165, -0.3615426678165139 39.48388527290704))"
"242","46","900","75392","YJ2773H","U","02","727526.67","4373932.43","739","87",,"6","13894","POLYGON ((-0.356331918399337 39.484184657391886, -0.3563402942472649 39.484169172910185, -0.3563164785235125 39.484162595265154, -0.3563085877568793 39.48417755026282, -0.3563027252055002 39.48417579532138, -0.3562992780503292 39.48417472594026, -0.3562366450873496 39.48415555385793, -0.3562348070604437 39.484154971519146, -0.3562686928716975 39.484089078512746, -0.3562744691611121 39.484077768954, -0.3563079791440448 39.484012588075515, -0.3563255573294029 39.48397821463175, -0.3561973092495618 39.48393881166071, -0.3561973058389712 39.48393890166959, -0.3561802331512242 39.483972205557414, -0.3561406871700613 39.48404941073307, -0.3561067944398545 39.48411548371683, -0.3560437208414433 39.48409567089989, -0.3557844847890116 39.484015540633195, -0.3557832207244824 39.48401515152163, -0.3557827595141418 39.48401505093964, -0.3556724443135871 39.48398101023491, -0.3556298112268487 39.483967878333544, -0.3554432186058759 39.48390966995004, -0.355442713046508 39.483910739481416, -0.3548863228191188 39.48373880216893, -0.3549101698657647 39.48368934703834, -0.3550254659894889 39.48345090019609, -0.3550266172969574 39.48345119666263, -0.3552780608528235 39.48292405848871, -0.3558665008136407 39.48309681328404, -0.3560358594039578 39.48314652104451, -0.3560795511103536 39.48315931653516, -0.356653222962153 39.48332920892267, -0.3567250538388889 39.483421650157396, -0.356629486073156 39.48395576097131, -0.356623123964958 39.483991740918114, -0.3565851216626885 39.48420312013772, -0.3565049459981767 39.48423886220621, -0.3563505309979226 39.48419048604901, -0.356331918399337 39.484184657391886))"
"242","46","900","75332","YJ2773D","U","01","727560.26","4373364.31","1371","29",,"6","1242","POLYGON ((-0.3555774419491906 39.47833420807663, -0.3554999261563316 39.47829685981051, -0.3554991267787463 39.478296481272054, -0.3554388523349269 39.478267362873034, -0.3554381691038017 39.47826698697751, -0.3552146444347994 39.4781592010063, -0.3552147708138471 39.47815893362314, -0.3552235832331926 39.47814111689095, -0.355223586644337 39.47814102688206, -0.3552547067099748 39.47807750348385, -0.3552869607114369 39.478011663634355, -0.3553179542777634 39.477948407597324, -0.3553260254275269 39.47793174511028, -0.3553262747728728 39.47793130035256, -0.3554483202255742 39.477946960358125, -0.3555829778266013 39.47796416846656, -0.3555859839614007 39.47796459722421, -0.3555861001066858 39.47796459986735, -0.3556580525798271 39.47797389464331, -0.355692872487083 39.47797838057101, -0.3556947239911584 39.47797860287756, -0.3557474509375321 39.47798601870944, -0.3557502247838392 39.477986442176906, -0.3557500949967148 39.47798679956966, -0.3557460645842936 39.47799499581614, -0.3557361149256897 39.47801521904769, -0.3557216259246221 39.478044798067586, -0.3557007189656053 39.47808729358527, -0.3556819467504878 39.47812560361046, -0.3556649403861788 39.478160260268815, -0.355647838322092 39.478194374227286, -0.35562861169525 39.47823240364211, -0.3556073595911208 39.478274801199646, -0.3555924024821688 39.47830445963493, -0.3555833544300354 39.4783223611197, -0.3555774419491906 39.47833420807663))"
"242","46","900","76397","YJ2773H","U","04","727576.03","4373916.85","2944","47","A","6","682","POLYGON ((-0.354989918914124 39.4834409923015, -0.3550769214203014 39.48286632922322, -0.3550772083175626 39.48286489437009, -0.3552780608528235 39.48292405848871, -0.3550266172969574 39.48345119666263, -0.3550254659894889 39.48345090019609, -0.354989918914124 39.4834409923015))"
"242","46","900","78375","YJ2773F","U","02","727872.24","4373678.69","3291","51","B","6","524","POLYGON ((-0.3516723108101819 39.48112065157192, -0.3516831469055431 39.48109549416349, -0.3516865220586849 39.48107088740072, -0.3516938736343906 39.481042587634704, -0.351693029790095 39.48100968684805, -0.3516949120507023 39.480975406809485, -0.3517112412731432 39.48092497021342, -0.3517024172957314 39.48092161607896, -0.3517358066840263 39.480798418099106, -0.3517685810798312 39.48069142165223, -0.3517748189292255 39.48067102410444, -0.3517861162047349 39.480682722554725, -0.3518717972962472 39.480771428490115, -0.3518266161329294 39.48106750393894, -0.3518232990790928 39.48108445468207, -0.3518066418451452 39.48110371390587, -0.3517916209349594 39.48111661428172, -0.3517686881271367 39.48112356880567, -0.3517490758332793 39.48112573433404, -0.3516723108101819 39.48112065157192))"
"242","46","900","69328","YJ2763D","U","03","726911.85","4373287.19","1650","6",,"6","741","POLYGON ((-0.3632746898692025 39.47752474544961, -0.3632677925674487 39.47752269712334, -0.3628993257533044 39.47741424938743, -0.3628917384065933 39.47741200520571, -0.362916806926899 39.477360774289, -0.3629613641333655 39.47727061776888, -0.362978865279731 39.47723507035668, -0.362980932078263 39.47723574786604, -0.3630754406228254 39.47726338707451, -0.3631855851127103 39.47729561508641, -0.3632506565839593 39.47731474863398, -0.3633610301332711 39.4773470717651, -0.3633432628512104 39.47738351406408, -0.3633402407292841 39.47738966147048, -0.3632746898692025 39.47752474544961))"
