POB_NOMBRE/String/set/size=100/set/order=20/set/label=Nombre;COD_PROVINCIA/Integer/set/order=30/set/label=Provincia/set/fk=true/set/fk_table=esp_provincias/set/fk_code=COD_PROVINCIA/set/fk_label=FORMAT('%02d - %s', COD_PROVINCIA, PRO_NAME)/set/foreingkey_closedlist=false/set/relation=1;COD_POBLACION/Integer/set/order=10/set/label=Poblacion;COD_ORIGENCOORDENADAS/Integer/set/order=40/set/label=Origen de las coordenadas/set/fk=true/set/fk_table=origen_coordenadas/set/fk_code=COD_ORIGENCOORDENADAS/set/fk_label=FORMAT('%02d - %s', COD_ORIGENCOORDENADAS, ORI_DESCRIPCION)/set/foreingkey_closedlist=true/set/relation=1;GEOMETRY/Geometry/set/srs=EPSG@4258/set/geomtype=Point@2D/set/order=60/set/hidden=true
"Alegría-Dulantzi";"1";"1001";"1";"POINT (-2.51243731 42.83981158)"
"Amurrio";"1";"1002";"1";"POINT (-3.00007326 43.05427776)"
"Ibarra";"1";"1003";"1";"POINT (-2.5654003700000003 43.05119653)"
"Artziniega";"1";"1004";"1";"POINT (-3.12791718 43.12084358)"
"Armiñón";"1";"1006";"1";"POINT (-2.87183475 42.72326199)"
"Durana";"1";"1008";"1";"POINT (-2.63878816 42.89116171)"
"Araia";"1";"1009";"1";"POINT (-2.31670754 42.88968768)"
"Arespalditza/Respaldiza";"1";"1010";"1";"POINT (-3.04306746 43.07768283000001)"
"Baños de Ebro/Mañueta";"1";"1011";"1";"POINT (-2.67863583 42.52925602)"
"Ozaeta";"1";"1013";"1";"POINT (-2.49407452 42.91537538)"
"Berantevilla";"1";"1014";"1";"POINT (-2.8597141400000003 42.68227191)"
"Bernedo";"1";"1016";"1";"POINT (-2.49825439 42.62676989)"
"Santa Cruz de Campezo/Santikurutze Kanpezu";"1";"1017";"1";"POINT (-2.35207693 42.66971209)"
"Gopegi";"1";"1018";"1";"POINT (-2.73033002 42.96210609)"
"Kripan";"1";"1019";"1";"POINT (-2.51621636 42.59082439)"
"Zuhatzu Kuartango";"1";"1020";"1";"POINT (-2.8843824300000005 42.87006411)"
"Elburgo/Burgelu";"1";"1021";"2";"POINT (-2.545933 42.850282)"
"Elciego";"1";"1022";"1";"POINT (-2.61723872 42.51420738)"
"Elvillar/Bilar";"1";"1023";"1";"POINT (-2.54441267 42.56842577)"
"Azilu";"1";"1027";"2";"POINT (-2.475996232 42.83131017)"
"Labastida/Bastida";"1";"1028";"2";"POINT (-2.793199 42.590217)"
"Lagran";"1";"1030";"1";"POINT (-2.58423377 42.62621464)"
"Laguardia/Biasteri";"1";"1031";"1";"POINT (-2.58411693 42.55236655)"
"Lanciego/Lantziego";"1";"1032";"1";"POINT (-2.51278162 42.5624416)"
"Lapuebla de Labarca";"1";"1033";"1";"POINT (-2.57209001 42.49441468)"
"Leza";"1";"1034";"1";"POINT (-2.63459428 42.56469687)"
"Laudio/Llodio";"1";"1036";"1";"POINT (-2.96256495 43.1425188)"
"Maeztu/Maestu";"1";"1037";"2";"POINT (-2.444299 42.738527)"
"Moreda de Álava/Moreda Araba";"1";"1039";"1";"POINT (-2.40841718 42.52479167)"
"Navaridas";"1";"1041";"1";"POINT (-2.62479544 42.5450594)"
"Eskauriatza";"1";"1042";"1";"POINT (-3.019026823 43.1615513)"
"Oion";"1";"1043";"2";"POINT (-2.4367880000000004 42.506067)"
"Peñacerrada/Urizaharra";"1";"1044";"1";"POINT (-2.71402821 42.64417512)"
"Pobes";"1";"1046";"1";"POINT (-2.91080642 42.80074682)"
"Ribabellosa";"1";"1047";"1";"POINT (-2.91704002 42.71339792)"
"Salinas de Añana/Gesaltza Añana";"1";"1049";"1";"POINT (-2.98601634 42.8012318)"
"Agurain/Salvatierra";"1";"1051";"2";"POINT (-2.389753 42.850452)"
"Samaniego";"1";"1052";"1";"POINT (-2.67904862 42.56735197)"
"Ordoñana/Erdoñana";"1";"1053";"1";"POINT (-2.37748902 42.87382571)"
"Izarra";"1";"1054";"1";"POINT (-2.90661046 42.95304046)"
"Villanueva de Valdegovía";"1";"1055";"1";"POINT (-3.09884417 42.84756896)"
"Alda";"1";"1056";"1";"POINT (-2.33104687 42.75289194)"
"Villabuena de Álava/Eskuernaga";"1";"1057";"1";"POINT (-2.66452938 42.54857804)"
"Legutio";"1";"1058";"1";"POINT (-2.64255929 42.9798744)"
"Vitoria-Gasteiz";"1";"1059";"1";"POINT (-2.67275685 42.85058789)"
"Yécora/Iekora";"1";"1060";"1";"POINT (-2.4700849 42.56923117)"
"Zalduondo";"1";"1061";"1";"POINT (-2.34650825 42.88580971)"
"Zambrana";"1";"1062";"1";"POINT (-2.87806502 42.66112968)"
"Murgia";"1";"1063";"1";"POINT (-2.81862854 42.95597763)"
"Nanclares de la Oca/Langraiz Oka";"1";"1901";"1";"POINT (-2.8147543 42.81819126)"
"Comunión/Komunioi";"1";"1902";"1";"POINT (-2.96649719 42.71657557)"
"Abengibre";"2";"2001";"1";"POINT (-1.54384487 39.2100078)"
"Alatoz";"2";"2002";"1";"POINT (-1.36097604 39.09494843)"
"Albacete";"2";"2003";"1";"POINT (-1.85574745 38.99588053)"
"Albatana";"2";"2004";"1";"POINT (-1.52275248 38.5708754)"
