"id/Integer/typetag/csvparameters.charset=utf-8/typetag/csvparameters.profile=EXCEL_NORTH_EUROPE_PREFERENCE/set/readOnly=true/set/allowNull=false/set/automatic=true/set/order=0";"extinca/Integer/set/order=10";"area/Integer/set/order=20";"finalmeters/Integer/set/order=30";"revisiondate/String/set/size=2147483647/set/order=40";"status/String/set/size=2147483647/set/order=50";"initialmeters/Integer/set/order=60";"version/Integer/set/order=70";"roadelementtype/String/set/size=2147483647/set/order=80";"auditcreatedby/Integer/set/order=90";"auditlastupdatedby/Integer/set/order=100";"urbantextreference/String/set/size=2147483647/set/order=110";"reserveareanumber/Integer/set/order=120";"reservelongitude/Double/set/locale=en/set/order=130";"urbanroadtype/Long/set/order=140";"urbanroads/Long/set/order=150";"urbansection/Long/set/order=160";"urbanstretches/Long/set/order=170";"extid/Long/set/order=180";"thrudate/String/set/size=30/set/order=190";"auditcreation/String/set/size=30/set/order=200";"fromdate/String/set/size=30/set/order=210";"auditlastupdate/String/set/size=30/set/order=220";"reservemodel/Long/set/order=230";"reservenumberplate/String/set/size=100/set/order=240";"reservecarparktype/String/set/size=20/set/order=250";"reserveownership/String/set/size=20/set/order=260";"reservetype/String/set/size=20/set/order=270";"reservetimetable/String/set/size=200/set/order=280";"notes/String/set/size=250/set/order=290";"id0/Long/set/readOnly=true/set/pk=true/set/automatic=true/set/order=300"
;"125584";"472438";"0";"2007-10-16 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"10";"0";"2.76";"486409";"3375";"485372";;;"2027-10-16 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-16 00:00:00.000000";"472417";;"LINE";;;;;
;"125585";"472438";"0";"2007-10-16 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"14";"0";"2.52";"486409";"3375";"485372";;;"2027-10-16 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-16 00:00:00.000000";"472417";;"LINE";;;;;
;"125601";"472438";"0";"2007-05-23 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"49";"0";"4.05";"486409";"2920";"485372";;;"2027-05-23 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-05-23 00:00:00.000000";"472416";"V.1566";"LINE";;;;;
;"125638";"472438";"0";"2007-10-29 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"15";"14";"15.63";"486409";"2965";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-10-29 00:00:00.000000";"472423";;"BATTERY";;;;;
;"125639";"472438";"0";"2005-04-25 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"45";"33";"42.3";"486409";"4450";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-04-25 00:00:00.000000";"472423";;"BATTERY";;;;"Titular: ZONA JUZGADOS BENALUA";
;"125646";"472438";"0";"2004-09-17 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"5";"0";"3.01";"486419";"4195";"485372";;;"2024-09-17 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-09-17 00:00:00.000000";"472416";"V.2093";"LINE";;;;;
;"125712";"472438";"0";"2007-06-07 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"23";"0";"3.01";"486409";"5485";"485372";;;;"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2007-06-07 00:00:00.000000";"472416";"V. 2907";"LINE";;;;;
;"125729";"472438";"0";"2004-09-29 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"42";"0";"2.65";"486409";"5190";"485372";;;"2024-09-29 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-09-29 00:00:00.000000";"472417";;"LINE";;;;;
;"124903";"472438";"0";"2005-05-08 00:00:00.000000";"STABLE";"0";"0";"RESERVE";"0";"0";"S/N";"0";"2.8";"486409";"4194";"485372";;;"2012-01-01 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2005-05-08 00:00:00.000000";"472417";;"LINE";;;;;
;"125768";"472438";"0";"2004-09-02 00:00:00.000000";"STABLE";"0";"1";"RESERVE";"0";"0";"3";"0";"5.19";"486409";"3215";"485372";;;"2024-09-02 00:00:00.000000";"1988-12-31 00:00:00.000000";"1988-12-31 00:00:00.000000";"2004-09-02 00:00:00.000000";"472420";"V.384";"LINE";;;;;
